AUTH,2010,2011,2012,2013,2014,2015,2016,2010Time1000,2011Time1000,2012Time1000,2013Time1000,2014Time1000,2015Time1000,2016Time1000
E06000001,1,0,2,0,1,4,4,1000,0,2000,0,1000,4000,4000
E06000002,20,5,7,6,5,5,2,20000,5000,7000,6000,5000,5000,2000
E06000003,1,1,1,3,0,3,0,1000,1000,1000,3000,0,3000,0
E06000004,0,0,0,0,1,3,4,0,0,0,0,1000,3000,4000
E06000005,2,0,1,2,1,1,5,2000,0,1000,2000,1000,1000,5000
E06000006,0,0,0,2,1,1,3,0,0,0,2000,1000,1000,3000
E06000007,7,11,7,11,5,5,5,7000,11000,7000,11000,5000,5000,5000
E06000008,1,2,2,0,0,2,2,1000,2000,2000,0,0,2000,2000
E06000009,4,5,3,1,3,5,11,4000,5000,3000,1000,3000,5000,11000
E06000010,7,15,10,13,10,23,15,7000,15000,10000,13000,10000,23000,15000
E06000011,11,15,11,8,9,16,13,11000,15000,11000,8000,9000,16000,13000
E06000012,4,2,9,6,7,6,13,4000,2000,9000,6000,7000,6000,13000
E06000013,7,16,15,9,6,6,11,7000,16000,15000,9000,6000,6000,11000
E06000014,2,2,8,9,13,18,18,2000,2000,8000,9000,13000,18000,18000
E06000015,4,21,24,47,26,10,21,4000,21000,24000,47000,26000,10000,21000
E06000016,19,50,11,11,19,22,36,19000,50000,11000,11000,19000,22000,36000
E06000017,2,2,0,0,0,0,2,2000,2000,0,0,0,0,2000
E06000018,3,10,7,9,9,14,35,3000,10000,7000,9000,9000,14000,35000
E06000019,42,14,26,23,12,12,21,42000,14000,26000,23000,12000,12000,21000
E06000020,2,8,11,6,4,8,9,2000,8000,11000,6000,4000,8000,9000
E06000021,2,16,2,16,15,14,17,2000,16000,2000,16000,15000,14000,17000
E06000022,9,4,22,33,27,22,25,9000,4000,22000,33000,27000,22000,25000
E06000023,8,8,9,41,41,97,74,8000,8000,9000,41000,41000,97000,74000
E06000024,2,2,2,1,7,6,8,2000,2000,2000,1000,7000,6000,8000
E06000025,2,1,2,1,1,3,3,2000,1000,2000,1000,1000,3000,3000
E06000026,9,18,10,9,13,12,20,9000,18000,10000,9000,13000,12000,20000
E06000027,6,3,6,5,17,21,20,6000,3000,6000,5000,17000,21000,20000
E06000028,12,16,11,16,31,47,39,12000,16000,11000,16000,31000,47000,39000
E06000029,9,10,16,7,7,10,11,9000,10000,16000,7000,7000,10000,11000
E06000030,6,7,6,6,10,18,28,6000,7000,6000,6000,10000,18000,28000
E06000031,21,17,12,11,17,15,21,21000,17000,12000,11000,17000,15000,21000
E06000032,3,3,25,22,33,53,76,3000,3000,25000,22000,33000,53000,76000
E06000033,8,8,15,19,14,40,44,8000,8000,15000,19000,14000,40000,44000
E06000034,2,8,6,3,10,7,4,2000,8000,6000,3000,10000,7000,4000
E06000035,7,12,17,6,2,14,14,7000,12000,17000,6000,2000,14000,14000
E06000036,1,1,1,2,4,5,10,1000,1000,1000,2000,4000,5000,10000
E06000037,5,6,11,8,23,15,14,5000,6000,11000,8000,23000,15000,14000
E06000038,6,5,4,8,12,16,22,6000,5000,4000,8000,12000,16000,22000
E06000039,14,7,8,30,26,17,25,14000,7000,8000,30000,26000,17000,25000
E06000040,6,7,4,7,6,35,8,6000,7000,4000,7000,6000,35000,8000
E06000041,1,2,2,3,2,14,11,1000,2000,2000,3000,2000,14000,11000
E06000042,6,8,6,8,14,29,38,6000,8000,6000,8000,14000,29000,38000
E06000043,14,37,43,50,41,78,144,14000,37000,43000,50000,41000,78000,144000
E06000044,5,11,11,7,8,15,37,5000,11000,11000,7000,8000,15000,37000
E06000045,5,24,18,13,19,31,23,5000,24000,18000,13000,19000,31000,23000
E06000046,1,9,2,9,4,4,16,1000,9000,2000,9000,4000,4000,16000
E06000047,2,2,11,3,13,3,12,2000,2000,11000,3000,13000,3000,12000
E06000049,0,3,3,4,12,0,4,0,3000,3000,4000,12000,0,4000
E06000050,2,4,3,0,5,5,7,2000,4000,3000,0,5000,5000,7000
E06000051,10,13,10,12,10,7,13,10000,13000,10000,12000,10000,7000,13000
E06000052,65,80,50,77,40,65,99,65000,80000,50000,77000,40000,65000,99000
E06000053,0,0,0,0,0,0,1,0,0,0,0,0,0,1000
E06000054,13,6,14,5,9,23,18,13000,6000,14000,5000,9000,23000,18000
E06000055,12,17,19,26,25,51,59,12000,17000,19000,26000,25000,51000,59000
E06000056,5,5,11,13,18,10,19,5000,5000,11000,13000,18000,10000,19000
E06000057,6,5,3,2,6,5,0,6000,5000,3000,2000,6000,5000,0
E07000004,10,10,4,14,17,15,26,10000,10000,4000,14000,17000,15000,26000
E07000005,0,0,2,4,3,1,1,0,0,2000,4000,3000,1000,1000
E07000006,0,0,0,2,0,0,4,0,0,0,2000,0,0,4000
E07000007,15,14,1,9,9,11,13,15000,14000,1000,9000,9000,11000,13000
E07000008,6,12,20,9,10,18,40,6000,12000,20000,9000,10000,18000,40000
E07000009,3,4,3,2,1,1,4,3000,4000,3000,2000,1000,1000,4000
E07000010,11,7,8,10,7,6,7,11000,7000,8000,10000,7000,6000,7000
E07000011,1,2,2,1,3,2,3,1000,2000,2000,1000,3000,2000,3000
E07000012,0,1,0,2,1,0,0,0,1000,0,2000,1000,0,0
E07000026,1,1,1,3,3,0,3,1000,1000,1000,3000,3000,0,3000
E07000027,2,5,2,1,0,4,4,2000,5000,2000,1000,0,4000,4000
E07000028,1,1,1,6,0,0,1,1000,1000,1000,6000,0,0,1000
E07000029,1,2,0,0,1,2,0,1000,2000,0,0,1000,2000,0
E07000030,0,0,1,0,0,3,0,0,0,1000,0,0,3000,0
E07000031,2,8,4,1,0,0,3,2000,8000,4000,1000,0,0,3000
E07000032,2,3,2,6,6,4,4,2000,3000,2000,6000,6000,4000,4000
E07000033,2,1,2,4,2,4,7,2000,1000,2000,4000,2000,4000,7000
E07000034,6,4,3,9,8,0,10,6000,4000,3000,9000,8000,0,10000
E07000035,0,3,2,3,3,3,2,0,3000,2000,3000,3000,3000,2000
E07000036,1,3,4,4,5,1,4,1000,3000,4000,4000,5000,1000,4000
E07000037,1,1,2,2,2,3,1,1000,1000,2000,2000,2000,3000,1000
E07000038,0,1,5,0,2,3,2,0,1000,5000,0,2000,3000,2000
E07000039,1,1,1,0,2,1,1,1000,1000,1000,0,2000,1000,1000
E07000040,3,8,5,4,6,8,5,3000,8000,5000,4000,6000,8000,5000
E07000041,21,29,30,23,34,27,41,21000,29000,30000,23000,34000,27000,41000
E07000042,0,5,3,1,4,7,4,0,5000,3000,1000,4000,7000,4000
E07000043,12,16,11,7,11,28,16,12000,16000,11000,7000,11000,28000,16000
E07000044,5,6,7,8,7,9,3,5000,6000,7000,8000,7000,9000,3000
E07000045,3,8,4,0,4,1,3,3000,8000,4000,0,4000,1000,3000
E07000046,10,4,1,3,5,0,2,10000,4000,1000,3000,5000,0,2000
E07000047,3,4,2,0,2,0,0,3000,4000,2000,0,2000,0,0
E07000048,0,0,8,1,2,8,10,0,0,8000,1000,2000,8000,10000
E07000049,0,0,1,0,0,3,0,0,0,1000,0,0,3000,0
E07000050,3,6,2,0,0,0,1,3000,6000,2000,0,0,0,1000
E07000051,2,3,1,1,0,5,2,2000,3000,1000,1000,0,5000,2000
E07000052,2,2,4,3,0,6,2,2000,2000,4000,3000,0,6000,2000
E07000053,3,2,5,6,8,6,11,3000,2000,5000,6000,8000,6000,11000
E07000061,6,3,11,6,11,10,19,6000,3000,11000,6000,11000,10000,19000
E07000062,3,5,3,15,12,16,26,3000,5000,3000,15000,12000,16000,26000
